name,units,query_name,shortname,id,access_type,fc,an,note
Large-scale precipitation,m,large_scale_precipitation,lsp,142,,X,,
"Leaf area index, high vegetation",m2 m-2,leaf_area_index_high_vegetation,lai_hv,67,,X,X,
"Leaf area index, low vegetation",m2 m-2,leaf_area_index_low_vegetation,lai_lv,66,,X,X,
Lifting threshold speed,m s-1,lifting_threshold_speed,aerlts,210053,,,X,
Low cloud cover,(0 - 1),low_cloud_cover,lcc,186,,X,X,
Medium cloud cover,(0 - 1),medium_cloud_cover,mcc,187,,X,X,
Coarse-mode nitrate aerosol optical depth at 550 nm,dimensionless,nitrate_coarse_mode_aerosol_optical_depth_550nm,aerodnic,215204,,X,X,Only available from 9 July 2019 00UTC
Fine-mode nitrate aerosol optical depth at 550 nm,dimensionless,nitrate_fine_mode_aerosol_optical_depth_550nm,aerodnif,215203,,X,X,Only available from 9 July 2019 00UTC
Photosynthetically active radiation at the surface,J m-2,photosynthetically_active_radiation_at_the_surface,par,58,,X,,
Potential evaporation,m,potential_evaporation,pev,228251,,X,,Only available from 21 June 2016 00UTC
Precipitation type,code table (4.201),precipitation_type,ptype,260015,,X,,Only available from 21 June 2016 00UTC
Sea ice area fraction,(0 - 1),sea_ice_cover,ci,31,,X,X,
Sea salt aerosol (0.03 - 0.5 um) optical depth,dimensionless,sea_salt_aerosol_0.03-0.5um_optical_depth_550nm,aerodsss,215022,,X,X,Only available from 26 June 2018 12UTC
Sea salt aerosol (0.5 - 5 um) optical depth,dimensionless,sea_salt_aerosol_0.5-5um_optical_depth_550nm,aerodssm,215023,,X,X,Only available from 26 June 2018 12UTC
Sea salt aerosol (5 - 20 um) optical depth,dimensionless,sea_salt_aerosol_5-20um_optical_depth_550nm,aerodssl,215024,,X,X,Only available from 26 June 2018 12UTC
Sea surface temperature,K,sea_surface_temperature,sst,34,,,X,
Secondary organic aerosol optical depth at 550 nm,dimensionless,secondary_organic_aerosol_optical_depth_550nm,soaod550,215226,,X,X,Available from 28 June 2023 
Sedimentation of ammonium aerosol,kg m-2 s-1,sedimentation_of_ammonium_aerosol,aersdmam,215207,,X,,Only available from 9 July 2019 00UTC
Sedimentation of coarse-mode nitrate aerosol,kg m-2 s-1,sedimentation_of_coarse_mode_nitrate_aerosol,aersdmnic,215194,,X,,Only available from 9 July 2019 00UTC
Sedimentation of dust aerosol (0.03 - 0.55 um),kg m-2 s-1,sedimentation_of_dust_aerosol_0.03-0.55um,aersdmdus,215031,,X,,Only available from 26 June 2018 12UTC
Sedimentation of dust aerosol (0.55 - 9 um),kg m-2 s-1,sedimentation_of_dust_aerosol_0.55-9um,aersdmdum,215032,,X,,Only available from 26 June 2018 12UTC
Sedimentation of dust aerosol (9 - 20 um),kg m-2 s-1,sedimentation_of_dust_aerosol_9-20um,aersdmdul,215033,,X,,Only available from 26 June 2018 12UTC
Sedimentation of fine-mode nitrate aerosol,kg m-2 s-1,sedimentation_of_fine_mode_nitrate_aerosol,aersdmnif,215193,,X,,Only available from 9 July 2019 00UTC
Sedimentation of hydrophilic black carbon aerosol,kg m-2 s-1,sedimentation_of_hydrophilic_black_carbon_aerosol,aersdmbchphil,215070,,X,,Only available from 26 June 2018 12UTC
Sedimentation of hydrophilic organic matter aerosol,kg m-2 s-1,sedimentation_of_hydrophilic_organic_matter_aerosol,aersdmomhphil,215054,,X,,Only available from 26 June 2018 12UTC
Sedimentation of hydrophobic black carbon aerosol,kg m-2 s-1,sedimentation_of_hydrophobic_black_carbon_aerosol,aersdmbchphob,215069,,X,,Only available from 26 June 2018 12UTC
Sedimentation of hydrophobic organic matter aerosol,kg m-2 s-1,sedimentation_of_hydrophobic_organic_matter_aerosol,aersdmomhphob,215053,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sea salt aerosol (0.03 - 0.5 um),kg m-2 s-1,sedimentation_of_sea_salt_aerosol_0.03-0.5um,aersdmsss,215007,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sea salt aerosol (0.5 - 5 um),kg m-2 s-1,sedimentation_of_sea_salt_aerosol_0.5-5um,aersdmssm,215008,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sea salt aerosol (5 - 20 um),kg m-2 s-1,sedimentation_of_sea_salt_aerosol_5-20um,aersdmssl,215009,,X,,Only available from 26 June 2018 12UTC
Sedimentation of sulphate aerosol,kg m-2 s-1,sedimentation_of_sulphate_aerosol,aersdmsu,215083,,X,,Only available from 26 June 2018 12UTC
Single scattering albedo at 1020 nm,(0 - 1),single_scattering_albedo_1020nm,ssa1020,215146,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 1064 nm,(0 - 1),single_scattering_albedo_1064nm,ssa1064,215147,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 1240 nm,(0 - 1),single_scattering_albedo_1240nm,ssa1240,215148,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 1640 nm,(0 - 1),single_scattering_albedo_1640nm,ssa1640,215149,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 2130 nm,(0 - 1),single_scattering_albedo_2130nm,ssa2130,215178,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 340 nm,(0 - 1),single_scattering_albedo_340nm,ssa340,215132,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 355 nm,(0 - 1),single_scattering_albedo_355nm,ssa355,215133,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 380 nm,(0 - 1),single_scattering_albedo_380nm,ssa380,215134,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 400 nm,(0 - 1),single_scattering_albedo_400nm,ssa400,215135,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 440 nm,(0 - 1),single_scattering_albedo_440nm,ssa440,215136,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 469 nm,(0 - 1),single_scattering_albedo_469nm,ssa469,215137,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 500 nm,(0 - 1),single_scattering_albedo_500nm,ssa500,215138,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 532 nm,(0 - 1),single_scattering_albedo_532nm,ssa532,215139,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 550 nm,(0 - 1),single_scattering_albedo_550nm,ssa550,215140,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 645 nm,(0 - 1),single_scattering_albedo_645nm,ssa645,215141,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 670 nm,(0 - 1),single_scattering_albedo_670nm,ssa670,215142,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 800 nm,(0 - 1),single_scattering_albedo_800nm,ssa800,215143,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 858 nm,(0 - 1),single_scattering_albedo_858nm,ssa858,215144,,X,X,Only available from 26 June 2018 12UTC
Single scattering albedo at 865 nm,(0 - 1),single_scattering_albedo_865nm,ssa865,215145,,X,X,Only available from 26 June 2018 12UTC
Skin reservoir content,m of water equivalent,skin_reservoir_content,src,198,,X,X,
Skin temperature,K,skin_temperature,skt,235,,X,X,
Snow albedo,(0 - 1),snow_albedo,asn,32,,X,X,
Snow depth,m of water equivalent,snow_depth,sd,141,,X,X,
Sulphate Aerosol Optical Depth at 550nm,dimensionless,sulphate_aerosol_optical_depth_550nm,suaod550,210212,,,X,
Sunshine duration,s,sunshine_duration,sund,189,,X,,
Surface latent heat flux,J m-2,surface_latent_heat_flux,slhf,147,,X,,
Surface net solar radiation,J m-2,surface_net_solar_radiation,ssr,176,,X,,
"Surface net solar radiation, clear sky",J m-2,surface_net_solar_radiation_clear_sky,ssrc,210,,X,,
Surface net thermal radiation,J m-2,surface_net_thermal_radiation,str,177,,X,,
"Surface net thermal radiation, clear sky",J m-2,surface_net_thermal_radiation_clear_sky,strc,211,,X,,
Surface sensible heat flux,J m-2,surface_sensible_heat_flux,sshf,146,,X,X,
Surface solar radiation downward clear-sky,J m-2,surface_solar_radiation_downward_clear_sky,ssrdc,228129,,X,,
Surface solar radiation downwards,J m-2,surface_solar_radiation_downwards,ssrd,169,,X,,
Surface thermal radiation downward clear-sky,J m-2,surface_thermal_radiation_downward_clear_sky,strdc,228130,,X,,
Surface thermal radiation downwards,J m-2,surface_thermal_radiation_downwards,strd,175,,X,,
Time-integrated dry deposition mass flux of Ammonia,kg m-2,time_integrated_dry_deposition_mass_flux_of_ammonia,acc_dry_depm_NH3,222019,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Dinitrogen pentoxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_dinitrogen_pentoxide,acc_dry_depm_N2O5,222033,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Nitric acid,kg m-2,time_integrated_dry_deposition_mass_flux_of_nitric_acid,acc_dry_depm_HNO3,222006,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Nitrogen dioxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_nitrogen_dioxide,acc_dry_depm_NO2,222031,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Nitrogen monoxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_nitrogen_monoxide,acc_dry_depm_NO,222027,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Organic nitrates,kg m-2,time_integrated_dry_deposition_mass_flux_of_organic_nitrates,acc_dry_depm_ONIT,222015,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Ozone,kg m-2,time_integrated_dry_deposition_mass_flux_of_ozone,acc_dry_depm_O3,222001,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Peroxyacetyl nitrate,kg m-2,time_integrated_dry_deposition_mass_flux_of_peroxyacetyl_nitrate,acc_dry_depm_PAN,222013,,X,X,Available from 28 June 2023
Time-integrated dry deposition mass flux of Sulphur dioxide,kg m-2,time_integrated_dry_deposition_mass_flux_of_sulphur_dioxide,acc_dry_depm_SO2,222017,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Ammonia,kg m-2,time_integrated_wet_deposition_mass_flux_of_ammonia,acc_wet_depm_NH3,223019,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Dinitrogen pentoxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_dinitrogen_pentoxide,acc_wet_depm_N2O5,223033,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Nitric acid,kg m-2,time_integrated_wet_deposition_mass_flux_of_nitric_acid,acc_wet_depm_HNO3,223006,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Nitrogen dioxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_nitrogen_dioxide,acc_wet_depm_NO2,223031,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Nitrogen monoxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_nitrogen_monoxide,acc_wet_depm_NO,223027,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Organic nitrates,kg m-2,time_integrated_wet_deposition_mass_flux_of_organic_nitrates,acc_wet_depm_ONIT,223015,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Peroxyacetyl nitrate,kg m-2,time_integrated_wet_deposition_mass_flux_of_peroxyacetyl_nitrate,acc_wet_depm_PAN,223013,,X,X,Available from 28 June 2023
Time-integrated wet deposition mass flux of Sulphur dioxide,kg m-2,time_integrated_wet_deposition_mass_flux_of_sulphur_dioxide,acc_wet_depm_SO2,223017,,X,X,Available from 28 June 2023
TOA incident solar radiation,J m-2,toa_incident_solar_radiation,tisr,212,,X,,
Top net solar radiation,J m-2,top_net_solar_radiation,tsr,178,,X,,
"Top net solar radiation, clear sky",J m-2,top_net_solar_radiation_clear_sky,tsrc,208,,X,,
Top net thermal radiation,J m-2,top_net_thermal_radiation,ttr,179,,X,,
"Top net thermal radiation, clear sky",J m-2,top_net_thermal_radiation_clear_sky,ttrc,209,,X,,
Total absorption aerosol optical depth at 1020 nm,dimensionless,total_absorption_aerosol_optical_depth_1020nm,aodabs1020,215110,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 1064 nm,dimensionless,total_absorption_aerosol_optical_depth_1064nm,aodabs1064,215111,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 1240 nm,dimensionless,total_absorption_aerosol_optical_depth_1240nm,aodabs1240,215112,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 1640 nm,dimensionless,total_absorption_aerosol_optical_depth_1640nm,aodabs1640,215113,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 2130 nm,dimensionless,total_absorption_aerosol_optical_depth_2130nm,aodabs2130,215176,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 340 nm,dimensionless,total_absorption_aerosol_optical_depth_340nm,aodabs340,215096,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 355 nm,dimensionless,total_absorption_aerosol_optical_depth_355nm,aodabs355,215097,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 380 nm,dimensionless,total_absorption_aerosol_optical_depth_380nm,aodabs380,215098,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 400 nm,dimensionless,total_absorption_aerosol_optical_depth_400nm,aodabs400,215099,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 440 nm,dimensionless,total_absorption_aerosol_optical_depth_440nm,aodabs440,215100,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 469 nm,dimensionless,total_absorption_aerosol_optical_depth_469nm,aodabs469,215101,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 500 nm,dimensionless,total_absorption_aerosol_optical_depth_500nm,aodabs500,215102,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 532 nm,dimensionless,total_absorption_aerosol_optical_depth_532nm,aodabs532,215103,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 550 nm,dimensionless,total_absorption_aerosol_optical_depth_550nm,aodabs550,215104,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 645 nm,dimensionless,total_absorption_aerosol_optical_depth_645nm,aodabs645,215105,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 670 nm,dimensionless,total_absorption_aerosol_optical_depth_670nm,aodabs670,215106,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 800 nm,dimensionless,total_absorption_aerosol_optical_depth_800nm,aodabs800,215107,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 858 nm,dimensionless,total_absorption_aerosol_optical_depth_858nm,aodabs858,215108,,X,X,Only available from 26 June 2018 12UTC
Total absorption aerosol optical depth at 865 nm,dimensionless,total_absorption_aerosol_optical_depth_865nm,aodabs865,215109,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 1020 nm,dimensionless,total_aerosol_optical_depth_1020nm,aod1020,210227,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 1064 nm,dimensionless,total_aerosol_optical_depth_1064nm,aod1064,210228,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 1640 nm,dimensionless,total_aerosol_optical_depth_1640nm,aod1640,210229,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 2130 nm,dimensionless,total_aerosol_optical_depth_2130nm,aod2130,210230,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 340 nm,dimensionless,total_aerosol_optical_depth_340nm,aod340,210217,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 355 nm,dimensionless,total_aerosol_optical_depth_355nm,aod355,210218,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 380 nm,dimensionless,total_aerosol_optical_depth_380nm,aod380,210219,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 400 nm,dimensionless,total_aerosol_optical_depth_400nm,aod400,210220,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 440 nm,dimensionless,total_aerosol_optical_depth_440nm,aod440,210221,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 500 nm,dimensionless,total_aerosol_optical_depth_500nm,aod500,210222,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 532 nm,dimensionless,total_aerosol_optical_depth_532nm,aod532,210223,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 645 nm,dimensionless,total_aerosol_optical_depth_645nm,aod645,210224,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 800 nm,dimensionless,total_aerosol_optical_depth_800nm,aod800,210225,,X,X,Only available from 26 June 2018 12UTC
Total aerosol optical depth at 858 nm,dimensionless,total_aerosol_optical_depth_858nm,aod858,210226,,X,X,Only available from 26 June 2018 12UTC
Total cloud cover,(0 - 1),total_cloud_cover,tcc,164,,X,X,
Total column acetone,kg m-2,total_column_acetone,tc_ch3coch3,218052,,X,X,Only available from 26 June 2018 12UTC
Total column acetone product,kg m-2,total_column_acetone_product,tc_aco2,218053,,X,X,Only available from 06 October 2020 00UTC
Total column acetonitrile,kg m-2,total_column_acetonitrile,tc_CH3CN,218224,,X,X,Available from 28 June 2023
Total column aldehydes,kg m-2,total_column_aldehydes,tc_ald2,218012,,X,X,Only available from 26 June 2018 12UTC
Total column amine,kg m-2,total_column_amine,tc_nh2,218040,,X,X,Only available from 06 October 2020 00UTC
Total column ammonia,kg m-2,total_column_ammonia,tc_nh3,218019,,X,X,Only available from 06 October 2020 00UTC
Total column ammonium,kg m-2,total_column_ammonium,tc_nh4,218021,,X,X,Only available from 9 July 2019 00UTC
Total column asymmetric chlorine dioxide radical,kg m-2,total_column_asymmetric_chlorine_dioxide_radical,tc_cloo,218198,,X,X,Available from 28 June 2023
Total column bromine,kg m-2,total_column_bromine,tc_br2,218192,,X,X,Available from 28 June 2023
Total column bromine atom,kg m-2,total_column_bromine_atom,tc_br,218191,,X,X,Available from 28 June 2023
Total column bromine monochloride,kg m-2,total_column_bromine_monochloride,tc_brcl,218193,,X,X,Available from 28 June 2023
Total column bromine monoxide,kg m-2,total_column_bromine_monoxide,tc_bro,218176,,X,X,Available from 28 June 2023
Total column bromine nitrate,kg m-2,total_column_bromine_nitrate,tc_brono2,218194,,X,X,Available from 28 June 2023
Total column bromochlorodifluoromethane,kg m-2,total_column_bromochlorodifluoromethane,tc_ha1211,218082,,X,X,Available from 28 June 2023
Total column chlorine,kg m-2,total_column_chlorine,tc_cl2,218066,,X,X,Available from 28 June 2023
Total column chlorine atom,kg m-2,total_column_chlorine_atom,tc_cl_c,218175,,X,X,Available from 28 June 2023
Total column chlorine dioxide,kg m-2,total_column_chlorine_dioxide,tc_oclo,218063,,X,X,Available from 28 June 2023
Total column chlorodifluoromethane,kg m-2,total_column_chlorodifluoromethane,tc_hcfc22,218079,,X,X,Available from 28 June 2023
Total column chloropentafluoroethane,kg m-2,total_column_chloropentafluoroethane,tc_cfc115,218075,,X,X,Available from 28 June 2023
Total column cloud ice water,kg m-2,total_column_cloud_ice_water,tciw,79,,X,X,
Total column cloud liquid water,kg m-2,total_column_cloud_liquid_water,tclw,78,,X,X,
Total column dibromomethane,kg m-2,total_column_dibromomethane,tc_ch2br2,218195,,X,X,Available from 28 June 2023
Total column dichlorine dioxide,kg m-2,total_column_dichlorine_dioxide,tc_cl2o2,218069,,X,X,Available from 28 June 2023
Total column dichlorodifluoromethane,kg m-2,total_column_dichlorodifluoromethane,tc_cfc12,218072,,X,X,Available from 28 June 2023
Total column dichlorotetrafluoroethane,kg m-2,total_column_dichlorotetrafluoroethane,tc_cfc114,218074,,X,X,Available from 28 June 2023
Total column dimethyl sulfide,kg m-2,total_column_dimethyl_sulfide,tc_dms,218018,,X,X,Only available from 06 October 2020 00UTC
Total column dinitrogen pentoxide,kg m-2,total_column_dinitrogen_pentoxide,tc_n2o5,218033,,X,X,Only available from 06 October 2020 00UTC
Total column ethanol,kg m-2,total_column_ethanol,tc_c2h5oh,218046,,X,X,Only available from 26 June 2018 12UTC
Total column ethene,kg m-2,total_column_ethene,tc_c2h4,218010,,X,X,Only available from 26 June 2018 12UTC
Total column formic acid,kg m-2,total_column_formic_acid,tc_hcooh,218043,,X,X,Only available from 26 June 2018 12UTC
Total column Glyoxal,kg m-2,total_column_glyoxal,tc_glyoxal,218107,,X,X,Available from 28 June 2023
