name,units,query_name,shortname,id,access_type,fc,an,note
Pernitric acid,kg kg-1,pernitric_acid,ho2no2,217034,,X,X,
Peroxides,kg kg-1,peroxides,rooh,217014,,X,X,
Peroxy acetyl radical,kg kg-1,peroxy_acetyl_radical,c2o3,217035,,X,X,
Potential vorticity,K m2 kg-1 s-1,potential_vorticity,pv,60,,X,X,
Propene,kg kg-1,propene,c3h6,217048,,X,X,
Radon,kg kg-1,radon,ra,210181,,X,X,
Relative humidity,%,relative_humidity,r,157,,X,X,
Specific cloud ice water content,kg kg-1,specific_cloud_ice_water_content,ciwc,247,,X,X,
Specific cloud liquid water content,kg kg-1,specific_cloud_liquid_water_content,clwc,246,,X,X,
Specific rain water content,kg kg-1,specific_rain_water_content,crwc,75,,X,X,
Specific snow water content,kg kg-1,specific_snow_water_content,cswc,76,,X,X,
Stratospheric ozone,kg kg-1,stratospheric_ozone_tracer,o3s,217024,,X,X,
Terpenes,kg kg-1,terpenes,c10h16,217049,,X,X,
Tetrachloromethane,kg kg-1,tetrachloromethane,ccl4,217076,,X,X,Available from 28 June 2023
Tribromomethane,kg kg-1,tribromomethane,chbr3,217197,,X,X,Available from 28 June 2023
Trichlorofluoromethane,kg kg-1,trichlorofluoromethane,cfc11,217071,,X,X,Available from 28 June 2023
Trichlorotrifluoroethane,kg kg-1,trichlorotrifluoroethane,cfc113,217073,,X,X,Available from 28 June 2023
Trifluorobromomethane,kg kg-1,trifluorobromomethane,ha1301,217083,,X,X,Available from 28 June 2023
Vertical velocity,Pa s-1,vertical_velocity,w,135,,X,X,
Water vapour (chemistry),kg kg-1,water_vapour_chemistry,h2o,217059,,X,X,Available from 28 June 2023
