query_name,         units,          long_name
SSCMASS25,          kg m-2,         Sea Salt Column Mass Density - PM 2.5
SO4SMASS,           kg m-3,         SO4 Surface Mass Concentration 
DUSMASS,            kg m-3,         Dust Surface Mass Concentration
Var_DUCMASS,        kg m-2 kg m-2,  Variance_of_DUCMASS
Var_DMSCMASS,       kg m-2 kg m-2,  Variance_of_DMSCMASS
SUFLUXU,            kg m-1 s-1,     SO4 column u-wind mass flux 
Var_SSEXTT25,       1 1,            Variance_of_SSEXTT25
Var_OCCMASS,        kg m-2 kg m-2,  Variance_of_OCCMASS
BCFLUXV,            kg m-1 s-1,     Black Carbon column v-wind mass flux
DUSMASS25,          kg m-3,         Dust Surface Mass Concentration - PM 2.5
Var_DMSSMASS,       kg m-3 kg m-3,  Variance_of_DMSSMASS
Var_SSFLUXV,        kg m-1 s-1 kg m-1 s-1,Variance_of_SSFLUXV
SSCMASS,            kg m-2,         Sea Salt Column Mass Density
Var_SUSCATAU,       1 1,            Variance_of_SUSCATAU
Var_SSSMASS25,      kg m-3 kg m-3,  Variance_of_SSSMASS25
SUSCATAU,           1,              SO4 Scattering AOT [550 nm] 
SO2SMASS,           kg m-3,         SO2 Surface Mass Concentration 
SSANGSTR,           1,              Sea Salt Angstrom parameter [470-870 nm]
DUEXTT25,           1,              Dust Extinction AOT [550 nm] - PM 2.5
Var_SUEXTTAU,       1 1,            Variance_of_SUEXTTAU
OCFLUXU,            kg m-1 s-1,     Organic Carbon column u-wind mass flux 
OCSCATAU,           1,              Organic Carbon Scattering AOT [550 nm] 
TOTSCATAU,          1,              Total Aerosol Scattering AOT [550 nm]
